repositorylocal_pathcommitlicenselanguagearchiveddescription
FoundationAgents/OpenManus	/home/ubuntu/source-repos/fusion-catalog/FoundationAgents__OpenManus	3309bf4	MIT	Python	false	No fortress, purely open ground.  OpenManus is Coming.
songguoxs/gpt4o-image-prompts	/home/ubuntu/source-repos/fusion-catalog/songguoxs__gpt4o-image-prompts	c282b67	UNSPECIFIED	JavaScript	false	Nano Banana(nanobanana),GPT-5(GPT5),GPT-4o(GPT4o) Image Prompts，Nanobanana Prompts，nanobanana提示词
openinterpreter/openinterpreter	/home/ubuntu/source-repos/fusion-catalog/openinterpreter__openinterpreter	5b07159	Apache-2.0	Rust	false	A coding agent for open models like Kimi K3
MoonshotAI/Kimi-K3	/home/ubuntu/source-repos/fusion-catalog/MoonshotAI__Kimi-K3	3cb39df	NOASSERTION	UNSPECIFIED	false	Open Frontier Intelligence
FareedKhan-dev/kimi-k3-in-c	/home/ubuntu/source-repos/fusion-catalog/FareedKhan-dev__kimi-k3-in-c	117e9d2	Apache-2.0	C	false	A 2.78-trillion-parameter Kimi K3 running inference on a single CPU in 8.24 GB of RAM. Portable C99: no BLAS, no framework, no GPU.
unslothai/unsloth	/home/ubuntu/source-repos/fusion-catalog/unslothai__unsloth	177a57b	Apache-2.0	Python	false	Local UI to run and train LLMs and diffusion models, including Qwen3.8, Kimi K3, MiniMax-H3, Gemma 4, DeepSeek-V4, FLUX and more.
openai/plugins-quickstart	/home/ubuntu/source-repos/fusion-catalog/openai__plugins-quickstart	0763ac2	MIT	Python	true	Get a ChatGPT plugin up and running in under 5 minutes!
asgeirtj/system_prompts_leaks	/home/ubuntu/source-repos/fusion-catalog/asgeirtj__system_prompts_leaks	c5ff66a	CC0-1.0	JavaScript	false	Extracted system prompts from Anthropic - Claude Fable 5, Opus 5, Claude Design, Claude Code. OpenAI - ChatGPT GPT-5.6-Sol, Codex. Google - Gemini 3.5 Flash, 3.1 Pro, Antigravity. xAI - Grok, Cursor, Copilot, VS Code, Perplexity, and more. Updated regularly.
xtekky/gpt4free	/home/ubuntu/source-repos/fusion-catalog/xtekky__gpt4free	5362ba5	GPL-3.0	Python	false	The official gpt4free repository | various collection of powerful language models | opus 4.6 gpt 5.3 kimi 2.5 deepseek v3.2 gemini 3
xai-org/grok-1	/home/ubuntu/source-repos/fusion-catalog/xai-org__grok-1	7050ed2	Apache-2.0	Python	false	Grok open release
xai-org/grok-build	/home/ubuntu/source-repos/fusion-catalog/xai-org__grok-build	77cd7eb	Apache-2.0	Rust	false	SpaceXAI's coding agent harness and TUI. Fullscreen, mouse interactive, extensible.
anthropics/claude-code	/home/ubuntu/source-repos/fusion-catalog/anthropics__claude-code	005c5da	UNSPECIFIED	Python	false	Claude Code is an agentic coding tool that lives in your terminal, understands your codebase, and helps you code faster by executing routine tasks, explaining complex code, and handling git workflows - all through natural language commands.
shareAI-lab/learn-claude-code	/home/ubuntu/source-repos/fusion-catalog/shareAI-lab__learn-claude-code	0dcafa2	MIT	Python	false	Bash is all you need -  A nano claude code–like 「agent harness」, built from 0 to 1
Alishahryar1/free-claude-code	/home/ubuntu/source-repos/fusion-catalog/Alishahryar1__free-claude-code	ecaf236	MIT	Python	false	Use Claude Code, Codex, Pi, and OpenCode for free (1.3B+ free tokens) from your terminal, app, IDE, or phone like OpenClaw (voice supported + ToS friendly)
hesreallyhim/awesome-claude-code	/home/ubuntu/source-repos/fusion-catalog/hesreallyhim__awesome-claude-code	b15421c	NOASSERTION	Python	false	A hand-picked collection of the finest of resources for the most awesome of agents, Claude Code, the undisputed champion of coding companions, from the unstoppable team at Anthropic PBC. A delectable showcase of top tier skills, ambidextrous agents, scintillating status lines, top notch developer tooling, and also we have plugins
deepseek-ai/deepseek-harness	/home/ubuntu/source-repos/fusion-catalog/deepseek-ai__deepseek-harness	b150a55	MIT	TypeScript	false	DeepSeek Harness: Everything is a Plugin.
MiniMax-AI/MiniMax-MCP	/home/ubuntu/source-repos/fusion-catalog/MiniMax-AI__MiniMax-MCP	0856b9a	MIT	Python	false	Official MiniMax Model Context Protocol (MCP) server that enables interaction with powerful Text to Speech, image generation and video generation APIs.
ollama/ollama	/home/ubuntu/source-repos/fusion-catalog/ollama__ollama	91cf995	MIT	Go	false	Get up and running with Kimi-K2.6, GLM-5.2, MiniMax, DeepSeek, gpt-oss, Qwen, Gemma and other models.
x1xhlol/system-prompts-and-models-of-ai-tools	/home/ubuntu/source-repos/fusion-catalog/x1xhlol__system-prompts-and-models-of-ai-tools	1e4203a	GPL-3.0	UNSPECIFIED	false	FULL Augment Code, Claude Code, Cluely, CodeBuddy, Comet, Cursor, Devin AI, Junie, Kiro, Leap.new, Lovable, Manus, NotionAI, Orchids.app, Perplexity, Poke, Qoder, Replit, Same.dev, Trae, Traycer AI, VSCode Agent, Warp.dev, Windsurf, Xcode, Z.ai Code, Dia & v0. (And other Open Sourced) System Prompts, Internal Tools & AI Models
